"","X","Name","Author","Date.Available","Description","Top.Country","Citation","Views","filename","sizeMB","Type","Repository"
"32",32,"Genome-wide association studies identify 137 loci for DNA methylation biomarkers of aging","Data McCartney, DanielMin, JosineRichmond, RebeccaLu, AkeSobczyk, MariaDavies, GailBroer, LindaGuo, XiuqingJeong, AyoungJung, JeesonKasela, SilvaKatrinli, SeymaKuo, Pei-LunMatias-Garcia, PamelaMishra, PashupatiNygaard, MariannePalviainen, TeemuPatki, AmitRaffield, LauraRatliff, ScottRichardson, TomRobinson, OliverSorensen, MetteSun, DianjianyiTsai, Pei-Chienvan der Zee, MatthijsWang, XiaochuanWang, YunzhangXia, RuiXu, ZongliYao, JieZhao, WeiDeary, IanRelton, CarolineHorvath, SteveMarioni, Riccardo","2020-07-01","These files contain summary statistics for meta-analysis GWAS of six traits in European, African and Trans-Ancestry. There are 18 files in total - 6 for each ancestry by 3 for each trait. The traits are DNA methylation proxies for granulocyte proportions (gran) and plasminogen activator inhibitor-1 (PAI1), and four epigenetic age acceleration measures of: PhenoAge, GrimAge, HannumAge, and Intrinsic Epigenetic Age Acceleration (IEAA).","United States","McCartney, Daniel; Min, Josine; Richmond, Rebecca; Lu, Ake; Sobczyk, Maria; Davies, Gail; Broer, Linda; Guo, Xiuqing; Jeong, Ayoung; Jung, Jeeson; Kasela, Silva; Katrinli, Seyma; Kuo, Pei-Lun; Matias-Garcia, Pamela; Mishra, Pashupati; Nygaard, Marianne; Palviainen, Teemu; Patki, Amit; Raffield, Laura; Ratliff, Scott; Richardson, Tom; Robinson, Oliver; Sorensen, Mette; Sun, Dianjianyi; Tsai, Pei-Chien; van der Zee, Matthijs; Wang, Xiaochuan; Wang, Yunzhang; Xia, Rui; Xu, Zongli; Yao, Jie; Zhao, Wei; Deary, Ian; Relton, Caroline; Horvath, Steve; Marioni, Riccardo. (2020). Genome-wide association studies identify 137 loci for DNA methylation biomarkers of aging, [dataset]. University of Edinburgh. Centre for Cognitive Ageing and Cognitive Epidemiology. https://doi.org/10.7488/ds/2834",861,"license_text; Trans-ethnicmeta-analysissummarystatistics:granulocyteproportions; Trans-ethnicmeta-analysissummarystatistics:PAI1; Trans-ethnicmeta-analysissummarystatistics:PhenoAge; Trans-ethnicmeta-analysissummarystatistics:GrimAge; Trans-ethnicmeta-analysissummarystatistics:IEAA; Trans-ethnicmeta-analysissummarystatistics:Hannum; African-ancestriesmeta-analysissummarystatistics:granulocyteproportions; European-ancestriesmeta-analysissummarystatistics:granulocyteproportions; African-ancestriesmeta-analysissummarystatistics:PAI1; European-ancestriesmeta-analysissummarystatistics:PAI1; African-ancestriesmeta-analysissummarystatistics:PhenoAge; European-ancestriesmeta-analysissummarystatistics:PhenoAge; African-ancestriesmeta-analysissummarystatistics:GrimAge; European-ancestriesmeta-analysissummarystatistics:GrimAge; African-ancestriesmeta-analysissummarystatistics:IEAA; European-ancestriesmeta-analysissummarystatistics:IEAA; African-ancestriesmeta-analysissummarystatistics:Hannum; European-ancestriesmeta-analysissummarystatistics:Hannum; README","17; 647.4; 606.4; 628.4; 629.6; 629.7; 629.7; 891.3; 638; 930.5; 649.7; 892.1; 645.7; 893.6; 645.7; 893.5; 645.7; 893.4; 645.4; 1.164","dataset","Edinburgh Datashare"
"33",33,"eHistology Kaufman Atlas Plate 24a image m","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 24a image m.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 24a image m, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/816.",114,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 437; 143.4; 566; 90; 17","image","Edinburgh Datashare"
"34",34,"eHistology Kaufman Atlas Plate 20a image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 20a image d.","Germany","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 20a image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/699.",106,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 433; 19.78; 316; 90; 17","image","Edinburgh Datashare"
"35",35,"LLEAPP 2013 final performance recording","Data Williams, SeanRawlinson, JulesHayes, LaurenGreen, OwenLinson, AdamRudnicki, RadekCanning, RobAulbert, FraukeKoutsomichalis, MarinosVine, BillPatel, AmitLloyd, EmmaHendrickse, JanMichalakos, Christos","2014-11-19","This is a live recording of the final performance of the LLEAPP 2013 workshop on 18th April 2013 at Inspace, Edinburgh. Performers were: Lauren Hayes,
Frauke Aulbert, Rob Canning, Owen Green, Marinos Koutsomichalis, Adam Linson, Emma Lloyd, Christos Michalakos, Amit Patel, Jules Rawlinson, Radek Rudnicki, Bill Vine, Sean Williams. Musical Director was Jan Hendrickse. Performers were located throughout the space, and audio was recorded in 4 channels, mixed down to a stereo version.","United States","Williams, Sean; Rawlinson, Jules; Hayes, Lauren; Green, Owen; Linson, Adam; Rudnicki, Radek; Canning, Rob; Aulbert, Frauke; Koutsomichalis, Marinos; Vine, Bill; Patel, Amit; Lloyd, Emma; Hendrickse, Jan; Michalakos, Christos. (2014). LLEAPP 2013 final performance recording, 2013 [sound]. University of Edinburgh. Edinburgh College of Art. Reid School of Music. https://doi.org/10.7488/ds/189.",232,"Concertrecording,stereoWAVfile","856.3","sound","Edinburgh Datashare"
"36",36,"Landsat 8 - South-East Scotland July 2013","Data Pope, Addy","2017-02-22","This is a NASA Landsat 8 image of the South-east of Scotland which was acquired on  06/07/2013.  You can view the metadata for this record here:  http://glovis.usgs.gov/ImgViewer/showmetadata.cgi?scene_id=LC82040212013187LGN00  The image has 3.8% cloud cover and a quality rating of 9. This image is 32bit and will load in many GIS but may not load in standard image viewers. Downloaded from glovis.usgs.gov portal and manipulated into a true-color image using QGIS 2.2. Bands 2/3/4 where used to make the true-color image. Please reference Landsat NASA as the data source when using this dataset using the following: Landsat8 image (LC82040212013187LGN00), NASA 2013. Aerial or Satellite Imagery. This dataset was first accessioned in the EDINA ShareGeo Open repository on 2014-05-29 and migrated to Edinburgh DataShare on 2017-02-22.","United States","Pope, Addy. (2017). Landsat 8 - South-East Scotland July 2013, [Dataset]. University of Edinburgh. https://doi.org/10.7488/ds/1959.",165,"LC82040212013187LGN00_True.zip; metadata.xml","191; 4.161","dataset","Edinburgh Datashare"
"37",37,"Dataset for a hybrid model approach for estimating health burden from NO2 in megacities in China: a case study in Guangzhou","Data He, Vera Baihuiqian","2019-09-30",NA,"United States","He, Vera Baihuiqian. (2019). Dataset for a hybrid model approach for estimating health burden from NO2 in megacities in China: a case study in Guangzhou, [dataset]. University of Edinburgh. https://doi.org/10.7488/ds/2624.",193,"license_text; README.txt; 83_receptor_sites.csv; adms_modelled_11_sites.csv; loocv.R; lur_function.R; lur_modelled_11_sites.csv; no2_concentration_guangzhou.tif","17; 890; 4.38; 157; 614; 4.354; 156; 105","dataset","Edinburgh Datashare"
"38",38,"Post Office Plan of Edinburgh and Leith  - 1893","Data Visualising Urban GeographiesThe National Library Of Scotland","2017-02-21","Georeferenced map of "" Post Office Plan of Edinburgh and Leith "" By J. Bartholomew (1893/94) as part of the Visualising Urban Geographies project- view other versions of the map at http://geo.nls.uk/urbhist/resources_maps.html. Scanned from original paper map and georeferenced by The National Library Of Scotland. Aerial or Satellite Imagery. This dataset was first accessioned in the EDINA ShareGeo Open repository on 2011-09-16 and migrated to Edinburgh DataShare on 2017-02-21.","United States","Visualising Urban Geographies; The National Library Of Scotland. (2017). Post Office Plan of Edinburgh and Leith  - 1893, [Dataset]. University of Edinburgh. https://doi.org/10.7488/ds/1867.",109,"83546578_rectified.zip; metadata.xml","306.6; 4.176","dataset","Edinburgh Datashare"
"39",39,"eHistology Kaufman Atlas Plate 33b image a","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 33b image a.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 33b image a, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1101.",116,"README.txt; citation.txt; details.txt; image.jpg; terms.txt; url.txt; license_text","1.157; 529; 434; 371.8; 8.766; 90; 17","image","Edinburgh Datashare"
"40",40,"OttoGwadoAyoker_Cultivation","Data Gwado Ayoker, OttoRemijsen, Bert","2014-09-05","The recording at the center of this item is a narrative, in which Otto Gwado Ayoker explains how agriculture is practised among the Shilluk, in particular in relation to dura (main staple). Cultivation (agriculture) is a major activity for the Shilluk people. Almost all the Shilluk land is fertile with good rain fall. Villagers do primitive farming using very simple hand tools. They produce a small amount of dura that is sometimes less than what they need. Only a few people produce more than what they need and exchange it for cows. Shilluk cultivate three types of dura: 1. ‘Lwallì’ red dura which is cultivated near the village. It takes three months to ripen. So, people start eating it in August.  The new grain, once dry, is planted in its turn, yielding a harvest in December. So, some people cultivate the red dura twice a year. In some areas, red dura and maize are now cultivated far inland because the children who would look after the cows go to schools. 2. ‘Thurø’ brown dura is cultivated in the forest. It is harvested in October. 3. ‘Ágono’ yellow dura is cultivated far from the village. It ripens very late in December. Usually people start planting lwalli and then go to plant thuro or agono.","United States","Gwado Ayoker, Otto; Remijsen, Bert. (2014). OttoGwadoAyoker_Cultivation, 2014 [sound]. University of Edinburgh. School of Philosophy, Psychology and Language Sciences. Linguistics and English Language. https://doi.org/10.7488/ds/53.",149,"recordednarrative; annotationsinPraatTextGrid); metadatare.thenarrative; scannedpermissionsdocument; questionnairedatare.performer; spreadsheetcompilationofinformationre.performerandperformance; license_text","36.68; 197.9; 14.09; 371; 13.07; 10.3; 20.17","sound","Edinburgh Datashare"
"41",41,"eHistology Kaufman Atlas Plate 19b image b","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 19b image b.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 19b image b, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/673.",116,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 443; 57.38; 1.939; 90; 17","image","Edinburgh Datashare"
"42",42,"eHistology Kaufman Atlas Plate 12 image g","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-21","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 12 image g.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 12 image g, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/535.",148,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 445; 21.07; 1.277; 89; 17","image","Edinburgh Datashare"
"43",43,"eHistology Kaufman Atlas Plate 34a image g","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 34a image g.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 34a image g, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1109.",110,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 429; 638; 1.231; 90; 17","image","Edinburgh Datashare"
"44",44,"eHistology Kaufman Atlas Plate 23d image h","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 23d image h.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 23d image h, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/798.",160,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 435; 119.4; 396; 90; 17","image","Edinburgh Datashare"
"45",45,"Spread of tau down neural circuits precedes synapse and neuronal loss in the rTgTauEC mouse model of early Alzheimer’s disease - Data from 2017 Publication","Data Spires-Jones, Tara LPickett, Eleanor K","2017-02-06","This is the raw data associated with the manuscript Pickett et al (2017) Synapse. We provide the raw images and analysis files. Due to University of Edinburgh DataShare space constraints, we cannot upload the processed images but can share them upon request (email tara.spires-jones@ed.ac.uk). # Paper abstract: # Synaptic dysfunction and loss is the strongest pathological correlate of cognitive decline in Alzheimer’s disease (AD) with increasing evidence implicating neuropathological tau protein in this process. Despite the knowledge that tau spreads through defined synaptic circuits, it is currently unknown whether synapse loss occurs before the accumulation of tau or as a consequence. To address this, we have used array tomography to examine an rTgTauEC mouse model expressing a P301L human tau transgene and a transgene labelling cytoplasm red (tdTomato) and presynaptic terminals green (Synaptophysin-EGFP). All transgenes are restricted primarily to the entorhinal cortex using the neuropsin promotor to drive tTA expression. It has previously been shown that rTgTauEC mice exhibit neuronal loss in the entorhinal cortex and synapse density loss in the middle molecular layer (MML) of the dentate gyrus at 24 months of age. Here we observed the density of tau-expressing and total pre synapses, and the spread of tau into the postsynapse in the MML of 3-6, 9 and 18 months old red-green-rTgTauEC mice. We observe no loss of synapse density in the MML up to 18 months even in axons expressing tau. Despite the maintenance of synapse density, we see spread of human tau from presynaptic terminals to postsynaptic compartments in the MML at very early ages, indicating that the spread of tau through neural circuits is not due to the degeneration of axon terminals and is an early feature of the disease process.","United States","Spires-Jones, Tara; Pickett, Eleanor. (2017). Spread of tau down neural circuits precedes synapse and neuronal loss in the rTgTauEC mouse model of early Alzheimer’s disease - Data from 2017 Publication, [dataset]. University of Edinburgh. https://doi.org/10.7488/ds/1706.",248,"Pickett_et_al_2017_data.zip; manuscript; license_text","19.8; 9.49; 17","dataset","Edinburgh Datashare"
"46",46,"LIVE-PAINT Supplementary Videos: Compressed versions","Data Oi, CurranHorrocks, MathewRegan, Lynne","2020-06-01","Compressed versions of the files of Oi, Curran; Horrocks, Mathew; Regan, Lynne. (2020). LIVE-PAINT Supplementary Videos, [dataset]. University of Edinburgh. Quantitative Biology, Biochemistry and Biotechnology. https://doi.org/10.7488/ds/2801.   
## File listing ## 
* ""SupplementaryMovie1_-_mKO_blinking_compressed.mp4"" LIVE-PAINT blinking behavior shown in S. cerevisiae using the fluorescent protein mKO and the reversible interaction pair SYNZIP17-SYNZIP18. Scale bar is 1 micron.   

* ""SupplementaryMovie2_-_mOrange_blinking_compressed.mp4"" LIVE-PAINT blinking behavior shown in S. cerevisiae using the fluorescent protein mOrange and the reversible interaction pair SYNZIP17-SYNZIP18. Scale bar is 1 micron.   

* ""SupplementaryMovie3_-_cofilin_tracking_compressed.mp4"" Video tracking cofilin in S. cerevisiae, where cofilin is C-terminally tagged with SYNZIP18 and labeled with separately expressed SYNZIP17-mNeonGreen. Scale bar is 5 microns.   

* ""SupplementaryMovie4_-_cofilin_tracking_compressed.mp4"" Tracking the diffusion of a single cofilin ""spot"" in S. cerevisiae, where cofilin is C-terminally tagged with SYNZIP18 and labeled with separately expressed SYNZIP17-mNeonGreen. Scale bar is 1 micron.","United States","Oi, Curran; Horrocks, Mathew; Regan, Lynne. (2020). LIVE-PAINT Supplementary Videos: Compressed versions, [moving image]. University of Edinburgh. Quantitative Biology, Biochemistry and Biotechnology. https://doi.org/10.7488/ds/2839.",319,"SupplementaryMovie1_-_mKO_blinking_compressed.mp4; SupplementaryMovie2_-_mOrange_blinking_compressed.mp4; SupplementaryMovie3_-_cofilin_tracking_compressed.mp4; SupplementaryMovie4_-_cofilin_tracking_compressed.mp4; license_text","511.9; 457.8; 1.248; 779.6; 17","moving image","Edinburgh Datashare"
