"","X","Name","Description","Subject","Keyword","Deposit.Date","Author","Depositor","Citation","FileName","Downloads","Variables","Observations","Repository"
"440",440,"Replication Data for: Measuring Agenda Setting in Interactive Political Communication","While strategies exist to measure actors' efforts to set policy, media, and lawmaking agendas, political scientists lack a method for identifying and accurately measuring another form of agenda setting that lies under the surface anytime two people talk. Within interactions, such as debates, deliberations, and discussions, actors can set the agenda by shifting others' attention to their preferred topics. In this article, I use a topic model that locates where topic shifts occur within an interaction in order to measure the relative agenda-setting power of actors (Nguyen et al. 2014). Validation exercises show that the model accurately identifies topic shifts and infers coherent topics. Three empirical applications also validate the agenda-setting measure within different political settings: US presidential debates, in-person deliberations, and online discussions. These applications show that successfully setting the agenda can shape an interaction's outcomes, demonstrating the importance of continued research on this form of agenda setting. (2021-03-02)","Social Sciences","Topic models, Agenda setting, Interpersonal communication","2021-03-02","Rossiter, Erin (Washington University in St. Louis)","Rossiter, Erin","Rossiter, Erin, 2021, ""Replication Data for: Measuring Agenda Setting in Interactive Political Communication"", https://doi.org/10.7910/DVN/MYM5OB, Harvard Dataverse, V1, UNF:6:ARCLrtPPUIQvpnL35KUDSw== [fileUNF]","c(""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"", ""all_sampled_shift_asgn.txt"")","c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"441",441,"Replication Data for: State Disengagement: Evidence from French West Africa","How do states respond to political resistance? The standard repression or concession logic presumes that the state is strong enough to punish or co-opt dissent effectively. Instead, we argue that the state may disengage when it is weak. We show that colonial governments in French West Africa reduced public investments in districts where chiefs engaged in largely nonviolent disobedience. However, we also show that chieftain disobedience reduced government taxes and fees on Africans, rather than increased them as punishment. Because the state was too weak to punish with higher taxation or to concede by increasing investments, the state disengaged in hard-to-rule districts. Our findings show that chieftain resistance helps explain why subnational development was so unequal during colonialism. Low-level and nonviolent resistance, often overlooked in the conflict literature, also affect state–society relations and state formation. (2021-05-26)","Social Sciences","Repression, State Capacity, Colonialism, West Africa, Public Investment, Non-violent Disobedience","2021-07-07","McAlexander, Richard J. (University of Pennsylvania) - ORCID: 0000-0002-2165-2652                                                    Ricart-Huguet, Joan (Loyola University Maryland) - ORCID: 0000-0003-4553-9563","Prins, Brandon","McAlexander, Richard J.; Ricart-Huguet, Joan, 2021, ""Replication Data for: State Disengagement: Evidence from French West Africa"", https://doi.org/10.7910/DVN/FSJFKY, Harvard Dataverse, V1, UNF:6:vOmqMgTVPGHqxgyfvwzfTw== [fileUNF]","c(""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"", ""AOF_1925polygon5.zip"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(106, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(3118, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"442",442,"Survey Response Data","This dataset contains two files, one of which contains all the survey responses collected, while the other contains only the responses that were considered farms according to the USDA definition. (2021-06-29)","Social Sciences; Agricultural Sciences",NA,"2021-06-29","Thompson, Carson","Thompson, Carson","Thompson, Carson, 2021, ""Survey Response Data"", https://doi.org/10.7910/DVN/F7GZF6, Harvard Dataverse, V1, UNF:6:TEdyHYUhp2cQ0IzMiwG/lQ== [fileUNF]","c(""ALL_RESPONSES.tab"", ""ALL_RESPONSES.tab"", ""ALL_RESPONSES.tab"")","c(2, 1, NA)","c(632, 647, NA)","c(129, 31, NA)","Harvard Dataverse"
"443",443,"Qualtrics Survey","This dataset contains two files, both of which are the survey distributed to farmers to collect survey responses. (2021-06-29)","Social Sciences; Agricultural Sciences",NA,"2021-06-29","Thompson, Carson","Thompson, Carson","Thompson, Carson, 2021, ""Qualtrics Survey"", https://doi.org/10.7910/DVN/J12XK8, Harvard Dataverse, V1","c(""Qualtrics Survey Software.pdf"", ""Qualtrics Survey Software.pdf"", ""Qualtrics Survey Software.pdf"")","c(1, 2, NA)","c(NA, NA, NA)","c(NA, NA, NA)","Harvard Dataverse"
"444",444,"Replication Data for: When Technocratic Appointments Signal Credibility","How do prime ministers manage investors' expectations during financial crises? We take a novel approach to this question by investigating ministerial appointments. When prime ministers appoint technocrats, defined as non-partisan experts, they forgo political benefits and can credibly signal their willingness to pay down their debt obligations. This reduces bond yields, but only at times when the market is sensitive to expected repayments---i.e., during crises. To examine the theory, we develop an event study analysis that employs new data on the background of finance ministers in 21 Western and Eastern European democracies. We find that investors reward technocratic appointments by reducing a country's borrowing costs. Consistent with the theory, technocratic appointments under crises predict lower bond yields. Our findings contribute to the literature on the interplay of financial markets and domestic politics. (2021-04-28)","Social Sciences","Finance Ministers, Technocrats, Technopols, Bond Yields, International Markets","2021-04-28","Alexiadou , Despina (Strathclyde University) - ORCID: 0000-0001-6571-239X","Alexiadou , Despina","Alexiadou , Despina, 2021, ""Replication Data for: When Technocratic Appointments Signal Credibility"", https://doi.org/10.7910/DVN/C6ESIZ, Harvard Dataverse, V1, UNF:6:JO/JKZDdKHzw41A4+K1n0w== [fileUNF]","c(""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"", ""abnormal_yield_hbox.pdf"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(5, 5, 24, 23, 3, 15, 4, NA, NA, NA, NA)","c(118200, 118724, 1084, 118743, 283, 283, 283, NA, NA, NA, NA)","Harvard Dataverse"
"445",445,"Replication Data for: Closing the gender gap in legislative debates: The role of gender quotas","Using an original data set of over 68,000 parliamentary speeches from 1999 through 2017, we construct a panel of legislators, our unit of observation, per legislative session. In this process, we create our primary outcome variable, the number of speeches per legislator per legislative session. Relying on a two-way fixed effects model, we examine the change in the gender gap in floor access, measured by the difference in the number of speeches between genders, from the pre- to the post-reform period.","Social Sciences",NA,"2021-07-07","Fernandes, Jorge M. (University of Lisbon)                                                    Lopes da Fonseca, Mariana (University of St Gallen)                                                    Won, Miguel (University of Lisbon)","Lopes da Fonseca, Mariana","Fernandes, Jorge M.; Lopes da Fonseca, Mariana; Won, Miguel, 2021, ""Replication Data for: Closing the gender gap in legislative debates: The role of gender quotas"", https://doi.org/10.7910/DVN/6MFGLC, Harvard Dataverse, V1, UNF:6:03BXacs+kfWB3+pS5kyqAQ== [fileUNF]","c(""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"", ""background.tab"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(5, 71, 69, 69, NA, NA, NA, NA, NA, NA)","c(1380, 4052, 4009, 1229, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"446",446,"Postembryonic development of the tracheal system of beetles in the context of aptery supplementary material","Supplementary material showing measurements, morphological description, and abbreviations of the tracheal system of Gonopus tibialis. Include also .stl files representing the tracheal system of lava, pupa, and imago of the Gonopus tibialis.","Medicine, Health and Life Sciences","tracheal system","2020-05-27","Raś, Marcin (Museum and Institute of Zoology) - ORCID: 0000-0002-6365-2386","Raś, Marcin","Raś, Marcin, 2020, ""Postembryonic development of the tracheal system of beetles in the context of aptery supplementary material"", https://doi.org/10.7910/DVN/P1HRUQ, Harvard Dataverse, V2","c(""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"", ""gonopus_imago_6w.stl"")","c(1, 0, 0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"447",447,"Optimization and validation of a cost-effective protocol for biosurveillance of invasive alien species","Environmental DNA (eDNA) metabarcoding has revolutionized biodiversity monitoring and invasive pest biosurveillance programs. The introduction of insect pests considered invasive alien species (IAS) into a non-native range poses a threat to native plant health. The early detection of IAS can allow for prompt actions by regulating authorities, thereby mitigating their impacts. In the present study, we optimized and validated a fast and cost-effective eDNA metabarcoding protocol for biosurveillance of IAS and characterization of insect and microorganism diversity. Forty-eight traps were placed, following the CFIA’s annual forest insect trapping survey, at four locations in southern Ontario that are high risk for forest IAS. We collected insects and eDNA samples using Lindgren funnel traps that contained a saturated salt (NaCl) solution in the collection jar. Using cytochrome c oxidase I (COI) as a molecular marker, a modified Illumina protocol effectively identified 2,535 Barcode Index Numbers (BINs). BINs were distributed among 57 Orders and 304 Families, with the vast majority being arthropods. Two IAS (Agrilus planipennis and Lymantria dispar) are regulated by the Canadian Food Inspection Agency (CFIA) as plant health pests, are known to occur in the study area, and were identified through eDNA in collected traps. Similarly, using 16S ribosomal RNA and nuclear ribosomal internal transcribed spacer (ITS), five bacterial and three fungal genera, which contain species of regulatory concern across several Canadian jurisdictions, were recovered from all sampling locations. Our study results reaffirm the effectiveness and importance of integrating eDNA metabarcoding as part of identification protocols in biosurveillance programs.","Medicine, Health and Life Sciences","biomonitoring, biosurveillance, COI, cytochrome c oxidase I, eDNA metabarcoding, invasive alien species, ITS, internal transcribed spacer, salt trap solution, 16S","2020-07-30","Milián-García, Yoamel (Department of Integrative Biology. College of Biological Science. University of Guelph.)                                                    Young, Robert (Department of Integrative Biology. College of Biological Science. University of Guelph.)                                                    Madden, Mary (Department of Integrative Biology. College of Biological Science. University of Guelph.)                                                    Bullas-Appleton, Erin (Canadian Food Inspection Agency. Government of Canada.)                                                    Hanner, Robert H. (Department of Integrative Biology. College of Biological Science. University of Guelph.)","Milián-García, Yoamel","Milián-García, Yoamel; Young, Robert; Madden, Mary; Bullas-Appleton, Erin; Hanner, Robert H., 2020, ""Optimization and validation of a cost-effective protocol for biosurveillance of invasive alien species"", https://doi.org/10.5683/SP2/HTSZNS, Scholars Portal Dataverse, V1",NA,NA,NA,NA,"Harvard Dataverse"
"448",448,"Validation of an effective protocol for Culicoides Latreille (Diptera: Ceratopogonidae) detection using eDNA metabarcoding","eDNA metabarcoding is an effective molecular-based identification method for the biosurveillance of flighted insects. An eDNA surveillance approach maintains specimens for secondary morphological identification useful for regulatory applications. This study identified Culicoides species using eDNA metabarcoding and compared these results to morphological identifications of trapped specimens. Insects were collected using ultra-violet (UV) lighted fan traps containing a saturated salt (NaCl) solution from two locations in Guelph, Ontario, Canada. There were forty-two Culicoides specimens collected in total. Molecular identification detected four species, C. biguttatus, C. stellifer, C. obsoletus, and C. mulrennani. Using morphological identification, two out of these four taxonomic ranks were confirmed at the species level (C. biguttatus and C. stellifer), one was confirmed at the subgenus level (Avaritia [C. obsoletus]). No molecular detection of Culicoides species occurred in traps with an abundance of less than three individuals per taxon. The inconsistency in identifying Culicoides specimens to species punctuates the need for curated DNA reference libraries for Culicoides. In conclusion, the saturated salt (NaCl) solution preserved the Culicoides' morphological characters and the eDNA.","Agricultural Sciences; Earth and Environmental Sciences","eDNA metabarcoding, Culicoides, biosurveillance, morphology, molecular identification","2021-03-29","Milián-García, Yoamel (Department of Integrative Biology. College of Biological Science. University of Guelph.)                                                    Janke, Lauren A. A. (Department of Integrative Biology. College of Biological Science. University of Guelph.)                                                    Young, Robert (Department of Integrative Biology. College of Biological Science. University of Guelph.)                                                    Ambagala, Aruna (Canadian Food Inspection Agency / Government of Canada)                                                    Hanner, Robert H. (Department of Integrative Biology. College of Biological Science. University of Guelph.)","Milián-García, Yoamel","Milián-García, Yoamel; Janke, Lauren A. A.; Young, Robert; Ambagala, Aruna; Hanner, Robert H., 2021, ""Validation of an effective protocol for Culicoides Latreille (Diptera: Ceratopogonidae) detection using eDNA metabarcoding"", https://doi.org/10.5683/SP2/RMSBC8, Scholars Portal Dataverse, V1",NA,NA,NA,NA,"Harvard Dataverse"
"449",449,"Auxiliary mine ventilation cost assessment model","Auxiliary mine ventilation model to assess capital and operational costs for various duct and fan combinations. (2015-01-15)","Engineering","Mine engineering, Mine ventilation, Tunnel ventilation, Underground facilities, Data generator",NA,"Levesque, Michelle Y. (Laurentian University)                                                    Millar, Dean L. (Laurentian University)","Mrozewski, Tomasz","Levesque, Michelle Y.; Millar, Dean L., 2019, ""Auxiliary mine ventilation cost assessment model"", https://doi.org/10.14285/10219/2301, Scholars Portal Dataverse, V1",NA,NA,NA,NA,"Harvard Dataverse"
"450",450,"Bulgarian Data for Pseudo-Profound Bullshit Receptivity and Resistance to Framing","Data from the Pseudo-Profound Bullshit Receptivity Scale (Pennycook et al., 2015) and the Resistance to Framing Scale (Bruine de Bruin, 2007), Risky-Choice Framing Part. (2018-07-01)","Social Sciences",NA,"2021-07-07","Rachev, Nikolay (Sofia University St. Kliment Ohridski) - ORCID: 0000-0002-5654-2883                                                    Pobornikova, Gabriela (Sofia University St. Kliment Ohridski)                                                    Marinova, Evelina (Sofia University St. Kliment Ohridski)                                                    Beshkov, Konstantin (Sofia University St. Kliment Ohridski)                                                    Benovska, Andrea-Karina (Sofia University St. Kliment Ohridski)                                                    Tenev, Dragomir (Sofia University St. Kliment Ohridski)                                                    Shomeva, Maria (Sofia University St. Kliment Ohridski)                                                    Genev, Evgeni (Sofia University St. Kliment Ohridski)                                                    Peycheva, Ekaterina (Sofia University St. Kliment Ohridski)","Rachev, Nikolay","Rachev, Nikolay; Pobornikova, Gabriela; Marinova, Evelina; Beshkov, Konstantin; Benovska, Andrea-Karina; Tenev, Dragomir; Shomeva, Maria; Genev, Evgeni; Peycheva, Ekaterina, 2021, ""Bulgarian Data for Pseudo-Profound Bullshit Receptivity and Resistance to Framing"", https://doi.org/10.7910/DVN/RBB4KI, Harvard Dataverse, V1, UNF:6:lYMdAqNLwfFQ5UH2kU+OyA== [fileUNF]","c(""bsrFr.tab"", ""bsrFr.tab"")","c(0, NA)","c(35, NA)","c(201, NA)","Harvard Dataverse"
"451",451,"Processed data","eMARC devices installed in Maharashtra and Uttar Pradesh record five parameters, voltage (V), current (A), active power (kW), power factor, and consumption (kWh). Data from both the devices installed in a home (i.e. on main line and on an appliance) is available for the period January 2018 to June 2020. This dataset contains processed data in following three files: 1) Daily consumption data - Daily consumption is calculated from the cumulative kWh data recorded every minute 2)15 minute block-wise load data - 24 hours of the day are divided into 96 15 min blocks, numbered from 0 to 95, and block-wise average load is calculated from active power recorded every minute. 3) Household-Deployment basic info - Basic information about households and deployments like region, household type and deployment type. Please contact us in case detailed data is required. (2021-07-01)","Other","electricity, energy, consumption, load, power factor, residential, appliance, air condotioner","2021-07-06","Prayas, Energy Group","Prayas, Energy Group","Prayas, Energy Group, 2021, ""Processed data"", https://doi.org/10.7910/DVN/YJ5SP1, Harvard Dataverse, V1, UNF:6:TsczJ+UwLugisbT9PVvjUQ== [fileUNF]","c(""eMARC daily consumption.tab"", ""eMARC daily consumption.tab"", ""eMARC daily consumption.tab"", ""eMARC daily consumption.tab"")","c(2, 1, 1, NA)","c(7, 5, NA, NA)","c(111280, 273, NA, NA)","Harvard Dataverse"
"452",452,"Household survey data","This dataset contains summary data from residential electricity consumption survey of eMARC households in the states of Maharashtra and Uttar Pradesh in India. The survey was carried out during the installation of eMARC monitors. (2021-07-01)","Other",NA,"2021-07-06","Prayas, Energy Group","Prayas, Energy Group","Prayas, Energy Group, 2021, ""Household survey data"", https://doi.org/10.7910/DVN/HUMNAQ, Harvard Dataverse, V1, UNF:6:ZjRJK1sn0z+jlRfqrTPC5Q== [fileUNF]","c(""eMARC household survey summary.tab"", ""eMARC household survey summary.tab"")","c(1, NA)","c(17, NA)","c(154, NA)","Harvard Dataverse"
"453",453,"Replication Data for: Healthy menstruation","Resting state brain activities measured using MEG","Medicine, Health and Life Sciences",NA,"2020-12-11","Shigihara, Yoshihito (Precision Medicine Centre, Hokuto Hospital)","Shigihara, Yoshihito","Shigihara, Yoshihito, 2021, ""Replication Data for: Healthy menstruation"", https://doi.org/10.7910/DVN/H4O0RE, Harvard Dataverse, V1, UNF:6:pxMVshpjawkRX0ZdF69+gA== [fileUNF]","c(""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"", ""menstrual_profile.tab"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(4, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(27, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"454",454,"Replication Data for: Gender gap in political science: An analysis of the scientific publications and career paths of Italian political scientists.","This paper assesses whether the presence of a gender gap in Political Science, identified in the international literature, is present also in the context of Italian Political Science. Literature has mostly centred on the comparison of female publication in international journals with the academic workforce in United States, but this raises an issue of data comparability. As an alternative strategy to avoid comparability biases, this work focuses on the analysis of a single national case: Italy. The paper evaluates to what extent the ""glass ceiling"" effect persists for political scientists who intend to publish their contributions. Analysing data on articles published between 2015 and 2020 by the three major Italian journals of Political Science, this contribution shows that: i) the proportion of published articles written by female authors is lower than that of male authors; ii) the hypothesis that the lower female production depends on a lower female presence in the field of Political Science is refuted; iii) there is a scarce collaboration between men and women; iv) there is a correlation between the presence of female editors in scientific journals and the share of female articles; and v) gender differences are reflected in women’s academic career progression.","Social Sciences",NA,"2021-07-03","Cellini, Marco (Institute for Research on Population and Social Policies, Italian National Research Council (IRPPS-CNR)) - ORCID: 0000-0002-7580-2804","Cellini, Marco","Cellini, Marco, 2021, ""Replication Data for: Gender gap in political science: An analysis of the scientific publications and career paths of Italian political scientists."", https://doi.org/10.7910/DVN/YEFLJZ, Harvard Dataverse, V1, UNF:6:eCUPIKESpq/Ac9GHCkmFvA== [fileUNF]","c(""DB_Gender gap in political science An analysis of the scien.tab"", ""DB_Gender gap in political science An analysis of the scien.tab"")","c(19, NA)","c(7, NA)","c(5, NA)","Harvard Dataverse"
"455",455,"Responses for esitmating time efforts","This dataset contains anonymized survey responses used for the analysis in the study Estimating Time Efforts in Assessment Procedure within Netherlands Universities","Social Sciences","Education, Netherlands, Tabular data","2021-07-06","Efremova, Alina (Vrije University Netherlands)","Efremova, Alina","Efremova, Alina, 2021, ""Responses for esitmating time efforts"", https://doi.org/10.7910/DVN/EOUYCH, Harvard Dataverse, V1, UNF:6:3JFv7rFwU50YchJRVMAy6w== [fileUNF]","c(""Teacher responses.tab"", ""Teacher responses.tab"")","c(0, NA)","c(39, NA)","c(30, NA)","Harvard Dataverse"
"456",456,"Traçados de Linhas de transmissão apresentados pela CPFL para anuência da APA Morro de Osório, Rio Grande do Sul","Dados geoespaciais das linhas de transmissão apresentadas para anuência da APA Morro de Osório, Rio Grande do Sul. A Linha de Transmissão (LT) em questão ligará as subestações Osório 3 e Gravataí 3 no Rio Grande do Sul. (2021-04-24)","Earth and Environmental Sciences; Engineering; Computer and Information Science","Electric lines","2021-04-24","Dagnino, Ricardo (UFRGS) - ORCID: 0000-0001-6313-5656                                                    Silveira, Pablo (UFRGS)","Dagnino, Ricardo","Dagnino, Ricardo; Silveira, Pablo, 2021, ""Traçados de Linhas de transmissão apresentados pela CPFL para anuência da APA Morro de Osório, Rio Grande do Sul"", https://doi.org/10.7910/DVN/H9PSHI, Harvard Dataverse, V3","c(""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", 
""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"", ""CPFL_carta_2019_10_22_e_tracado_alternativo_BR290.pdf"")","c(0, 0, 0, 2, 0, 1, 0, 1, 1, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"457",457,"Dados geoespaciais do projeto de linha de transmissão entre as subestações Osório 3 e Gravataí 3 no Rio Grande do Sul","Dados geoespaciais adquiridos a partir dos documentos de licenciamento, expedidos pela FEPAM, da linha de transmissão entre a subestação Osório 3 e a subestação Gravataí 3.  A partir da tabela de pontos do documento de licenciamento prévio (LP), foi realizada a extração dos valores de coordenadas geográficas, bem como dos respectivos atributos. Em seguida, a tabela deu origem a uma camada de pontos no software QGIS, através dos valores de latitude e longitude. Em seguida, por meio dos pontos foram criadas as camadas da linha de transmissão e da faixa de servidão de 38 metros.  De mesma maneira que com o documento de licenciamento prévio, foi realizada a extração dos valores da tabela de pontos do documento de licenciamento de instalação (LI). Por fim, todas as camadas resultantes foram salvas nos formatos Geopackage (GPKG), Shapefile (ZIP) e do Google Earth (KMZ).  (2021)","Earth and Environmental Sciences; Computer and Information Science",NA,"2021-04-13","Dagnino, Ricardo (UFRGS)                                                    Silveira, Pablo (UFRGS)","Dagnino, Ricardo","Dagnino, Ricardo; Silveira, Pablo, 2021, ""Dados geoespaciais do projeto de linha de transmissão entre as subestações Osório 3 e Gravataí 3 no Rio Grande do Sul"", https://doi.org/10.7910/DVN/EGZFSU, Harvard Dataverse, V2","c(""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"", ""Licenca_Previa_LT_Osorio_FEPAM.pdf"")","c(1, 1, 1, 2, 1, 1, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"458",458,"Data for: Imaging phonon-mediated hydrodynamics in WTe2","Experimental data taken for the manuscript: ""Imaging phonon-mediated hydrodynamics in WTe2"" (2021-07-06)","Physics",NA,"2021-07-06","Vool, Uri (Harvard University)","Vool, Uri","Vool, Uri, 2021, ""Data for: Imaging phonon-mediated hydrodynamics in WTe2"", https://doi.org/10.7910/DVN/ULRIZG, Harvard Dataverse, V1","c(""Bnv.h5"", ""Bnv.h5"", ""Bnv.h5"")","c(0, 0, NA)","c(NA, NA, NA)","c(NA, NA, NA)","Harvard Dataverse"
"459",459,"Replication Data for: The Cost of Privacy: Welfare Effects of the Disclosure of COVID-19 Cases","Review of Economics and Statistics: Forthcoming.","Social Sciences",NA,"2021-04-14","Argente, David (Pennsylvania State University)                                                    Hsieh, Chang-Tai (University of Chicago)                                                    Lee, Munseob (University of California San Diego)","Lee, Munseob","Argente, David; Hsieh, Chang-Tai; Lee, Munseob, 2021, ""Replication Data for: The Cost of Privacy: Welfare Effects of the Disclosure of COVID-19 Cases"", https://doi.org/10.7910/DVN/6NK8GV, Harvard Dataverse, V1, UNF:6:2BTvCGg/wwC1lWCYOmKErg== [fileUNF]","c(""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"", ""Calculate_pi_function.m"")","c(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"460",460,"Data associated with ""CO and Dust Properties in the TW Hya Disk From High-Resolution ALMA Observations""","These are the ALMA TW Hya CO and continuum images and measurement sets published in ""CO and Dust Properties in the TW Hya Disk from High-Resolution ALMA Observations.""","Physics",NA,"2018-01-11","Huang, Jane (Harvard University) - ORCID: 0000000169476072","Huang, Jane","Huang, Jane, 2018, ""Data associated with ""CO and Dust Properties in the TW Hya Disk From High-Resolution ALMA Observations"""", https://doi.org/10.7910/DVN/PXDKBC, Harvard Dataverse, V2","c(""dataverse_TWHyaB6cont.ms.tgz"", ""dataverse_TWHyaB6cont.ms.tgz"", ""dataverse_TWHyaB6cont.ms.tgz"", ""dataverse_TWHyaB6cont.ms.tgz"", ""dataverse_TWHyaB6cont.ms.tgz"", ""dataverse_TWHyaB6cont.ms.tgz"", ""dataverse_TWHyaB6cont.ms.tgz"")","c(0, 0, 31, 2, 50, 10, NA)","c(NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"461",461,"Registrations in the AEA RCT Registry (2013-04 to 2021-07)","This dataset contains publicly available data on the American Economic Association's RCT registry downloaded July 6, 2021. (2021-07-06)","Social Sciences",NA,"2021-07-06","AEA RCT Registry (American Economic Association)","Admin, AEA Registry","AEA RCT Registry, 2021, ""Registrations in the AEA RCT Registry (2013-04 to 2021-07)"", https://doi.org/10.7910/DVN/EXAZUR, Harvard Dataverse, V1, UNF:6:8IT5LSjDLDgalhQA3fhkXw== [fileUNF]","c(""Registry_Trials_2021.07.06.tab"", ""Registry_Trials_2021.07.06.tab"")","c(12, NA)","c(50, NA)","c(4801, NA)","Harvard Dataverse"
"462",462,"sociology-wos-74b","Count dataset for Web of Science citation data. Dataset was used for Lost & Forgotten (McGail 2021). Produced and uploaded by the Python package knowknow",NA,NA,NA,"McGail, Alec (Cornell University)",NA,"McGail, Alec, 2021, ""sociology-wos-74b"", https://doi.org/10.7910/DVN/GQGJLQ, Harvard Dataverse, V1","c(""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"", ""c.births_deaths"")","c(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
