"","Tags","Public Access Level","Rights","Program Contact Name","Program Contact Email","Frequency","Last Updated","Created","Followers","Organization","Social"
"557","""california"", ""departme..."", ""delta"", ""modeling"", ""dmug"", ""dwr""","Public","No restrictions on public use","Min Yu","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","August 12, 2020, 09:14 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"558","california, employme..., insured, unemploymen...","Public","No restrictions on public use","UIPCDUSA","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","0","California Employment Development Department","Twitter, Facebook, Linkedin"
"559","""additional"", ""claims"", ""california"", ""employme..."", ""initial"", ""claims"", ""new"", ""claims"")","Public","No restrictions on public use","UIPCDUSA","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","0","California Employment Development Department","Twitter, Facebook, Linkedin"
"560","""california"", ""departme..."", ""department"", ""of"", ""devel..."", ""developmental"", ""disab..."", ""drowning"", ""lanterman"", ""act"", ""regional"", ""centers""","Public","No restrictions on public use","Department of Developmental Services","[email protected]; [email protected]","Annual","June 24, 2021, 00:00 (UTC)","August 14, 2019, 15:06 (UTC)","0","California Department of Developmental Services","Twitter, Facebook, Linkedin"
"561","california, departme..., department, of, devel..., developmental, disab..., drowning, lanterman, act, regional, centers)","Public","No restrictions on public use","Department of Developmental Services","[email protected]; [email protected]","Annual","June 24, 2021, 00:00 (UTC)","August 14, 2019, 15:06 (UTC)","0","California Department of Developmental Services","Twitter, Facebook, Linkedin"
"562","""educator"", ""supply"", ""teacher""","Public","No Restrictions","CTC ETSS","[email protected]","Annual","December 5, 2019, 19:00 (UTC)","September 20, 2019, 21:56 (UTC)","0","California Commission on Teacher Credentialing","Twitter, Facebook, Linkedin"
"563","""Age"", ""Demographics"", ""Education"", ""Educational"", ""Attainment"", ""Gender"", ""Income"", ""Personal"", ""Income""","Public","No Restrictions on Public Use","admin","[email protected]","Irregular","October 23, 2019, 17:49 (UTC)","August 10, 2019, 10:30 (UTC)","1","California Department of Finance","Twitter, Facebook, Linkedin"
"564","acuity, ambulance, diversion, california, office, o..., ed, emergency, department, emsa, hospital, office, of, statewide..., oshpd, trauma","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","January 26, 2019, 08:01 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"565","""agency"", ""for"", ""healthca..."", ""ahrq"", ""c-section"", ""california"", ""office"", ""o..."", ""cesarean"", ""delivery"", ""childbirth"", ""gall"", ""bladder"", ""surgery"", ""healthcare"", ""quality"", ""hospital"", ""quality"", ""indicators"", ""inpatient"", ""quality"", ""iqi"", ""laparoscopic"", ""cholec..."", ""maternal"", ""outcomes"", ""maternity"", ""over-used"", ""procedures"", ""under-used"", ""procedures"", ""utilization"", ""utilization"", ""rates"", ""vaginal"", ""birth"", ""after..."", ""vbac"")","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Information Services Division/Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"566","""Benthic"", ""Bioassessment"", ""Biology"", ""Surface"", ""Water"", ""Sustainability"", ""california"", ""environment"", ""water""","Public","No Restrictions on Public Use","David Altare","[email protected]","Irregular","October 23, 2019, 17:24 (UTC)","August 10, 2019, 04:00 (UTC)","0","California State Water Resources Control Board","Twitter, Facebook, Linkedin"
"567","CAOpenData, California, Departme..., California, State, Tr..., Caltrans, Coronavirus, Covid, Covid-19, Covid19)","Public","No restrictions on public use","Division of Rail and Mass Transit","[email protected]","Irregular","September 17, 2020, 01:20 (UTC)","September 11, 2020, 23:50 (UTC)","0","Caltrans","Twitter, Facebook, Linkedin"
"568","""california"", ""employme..."", ""counties""","Public","No restrictions on public use","RCaluza","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","2","California Employment Development Department","Twitter, Facebook, Linkedin"
"569","""abx"", ""abx1"", ""1"", ""age"", ""application"", ""calheers"", ""california"", ""departme..."", ""california"", ""eligibil..."", ""covered"", ""california"", ""demographic"", ""dhcs"", ""eligible"", ""female"", ""gender"", ""iap"", ""iap"", ""covered"", ""ca"", ""qhp"", ""..."", ""individual"", ""insurance"", ""affordabi..."", ""male"", ""medi-cal"", ""medi-cal"", ""applications"", ""medi-cal"", ""eligibility"", ""qhp""","Public","No restrictions on public use","Covered California","[email protected]","Quarterly","June 28, 2021, 16:00 (UTC)","August 12, 2019, 20:07 (UTC)","0","California Department of Health Care Services","Twitter, Facebook, Linkedin"
"570","abx, abx1, 1, application, arabic, armenian, calheers, california, departme..., california, eligibil..., cambodian, cantonese, covered, ca, covered, ..., demographics, eligible, english, farsi, hmong, iap, individual, insurance, affordabi..., korean, language, mandarin, medi-cal, eligibility, qhp, russian, spanish, spoken, spoken, language, tagalog, vietnamese","Public","No restrictions on public use","Covered California","[email protected]","Quarterly","June 28, 2021, 16:00 (UTC)","August 12, 2019, 20:07 (UTC)","0","California Department of Health Care Services","Twitter, Facebook, Linkedin"
"571","""abx"", ""abx1"", ""1"", ""application"", ""arabic"", ""armenian"", ""calheers"", ""california"", ""departme..."", ""california"", ""eligibil..."", ""cambodian"", ""cantonese"", ""covered"", ""ca"", ""covered"", ""..."", ""demographic"", ""eligible"", ""english"", ""farsi"", ""hmong"", ""iap"", ""individual"", ""insurance"", ""affordabi..."", ""korean"", ""mandarin"", ""medi-cal"", ""medi-cal"", ""eligibility"", ""qhp"", ""russian"", ""spanish"", ""tagalog"", ""traditional"", ""chinese..."", ""vietnamese"", ""written"", ""language"")","Public","No restrictions on public use","Covered California","[email protected]","Quarterly","June 28, 2021, 16:00 (UTC)","August 12, 2019, 20:08 (UTC)","0","California Department of Health Care Services","Twitter, Facebook, Linkedin"
"572","""abx"", ""abx1"", ""1"", ""application"", ""calheers"", ""california"", ""departme..."", ""california"", ""eligibil..."", ""chicano"", ""covered"", ""ca"", ""qhp"", ""elig..."", ""cuban"", ""demographic"", ""eligible"", ""hispanic"", ""iap"", ""individual"", ""insurance"", ""affordabi..."", ""medi-cal"", ""medi-cal"", ""eligibility"", ""mexican"", ""mexican"", ""american"", ""mixed"", ""ethnicity"", ""not"", ""hispanic"", ""puerto"", ""rican"", ""qhp""","Public","No restrictions on public use","Covered California","[email protected]","Quarterly","June 28, 2021, 16:00 (UTC)","August 12, 2019, 20:07 (UTC)","0","California Department of Health Care Services","Twitter, Facebook, Linkedin"
"573","california, office, o..., closure, construction, healthcare, facility..., healthcare, projects, review, total, construction, ...)","Public","No restrictions on public use","Office of Statewide Health Planning and Development/Facilities Development Division","[email protected]","Irregular","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"574","""california"", ""california"", ""office"", ""o..."", ""healthcare"", ""licensed"", ""healthcare..."", ""office"", ""of"", ""statewide..."", ""oshpd""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Information Services Division, Healthcare Analytics Branch","[email protected]","Monthly","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:38 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"575","""ambient"", ""authcdfw"", ""ca"", ""california"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""chemistry"", ""ds071420210506wm"", ""edcp"", ""el"", ""segundo"", ""environment"", ""ephemeral"", ""data"", ""coll..."", ""humbolt"", ""humbolt"", ""bay"", ""hydrocarbons"", ""ospr"", ""pah"", ""polycyclic"", ""aromatic..."", ""sampling"", ""santa"", ""monica"", ""bay"", ""tissue"", ""water"", ""sediment""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"576","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., cdfw, ds270020200313wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:06 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"577","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""cdfw"", ""ds270020200313wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:06 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"578","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""cdfw"", ""ds270020200313wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:06 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"579","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds272120200221wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:07 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"580","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274020180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:13 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"581","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274020180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:13 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"582","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds274020180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","February 24, 2021, 09:13 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"583","""california"", ""departme..."", ""cdfw"", ""map"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:01 (UTC)","March 24, 2021, 06:01 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"584","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds273120200212wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:06 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"585","authcdfw, california, departme..., california, natural, ..., caopendata, cdfw, ds076820121212wm, none)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:03 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"586","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds133220180123wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""statewide"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"587","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds273420190827wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:03 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"588","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds273820180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"589","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274320180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"590","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274420180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"591","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds274520180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"592","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274620180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:01 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"593","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274720180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:07 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"594","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds274820180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:11 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"595","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds274920180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:10 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"596","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds275020180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:13 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"597","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds275120180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:16 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"598","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds275220180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:07 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"599","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds275320180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"600","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds275420180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:19 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"601","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds275520180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:18 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"602","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds275620180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:22 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"603","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds275820180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:05 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"604","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds275920180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:03 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"605","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds276120180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:09 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"606","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds276220180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:14 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"607","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds276320180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland"")","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"608","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds276420180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:21 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"609","ace, amphibian, authcdfw, biodiversity, bird, california, departme..., california, natural, ..., caopendata, cdfw, ds276520180220wm, endemic, game, mammal, native, plant, rare, rare, natural, community, rarity, reptile, richness, riparian, sensitive, haibtat, terrestrial, wetland)","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:02 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"610","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds276620180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"611","""ace"", ""amphibian"", ""authcdfw"", ""biodiversity"", ""bird"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds276720180220wm"", ""endemic"", ""game"", ""mammal"", ""native"", ""plant"", ""rare"", ""rare"", ""natural"", ""community"", ""rarity"", ""reptile"", ""richness"", ""riparian"", ""sensitive"", ""haibtat"", ""terrestrial"", ""wetland""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:02 (UTC)","February 24, 2021, 09:20 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
